nome,genero,presença_plenario,ausencia_plenario,ausencia_justificada_plenario,presenca_comissao,ausencia_comissao,ausencia_justificada_comissao,data_nascimento,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_total_gab,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab,salario_bruto,quant_viagem
 PAULO ABI-ACKEL,M,77,15,0,5,52,0, 21/06/1963,"256.231,70","50.879,76","37.522,53","37.414,19","37.784,96","34.690,33","17.048,14","19.193,24","11.703,00","6.914,08","3.081,47","0,00",0,"1.107.774,27","111.538,31","110.817,73","111.004,47","111.583,13","111.604,58","111.647,43","111.647,43","110.107,30","108.838,96","108.984,93",0,0,"33.763,00",
 PAULO PEREIRA DA SILVA,M,46,0,46,2,11,13, 24/02/1956,"298.844,30","29.383,01","37.602,30","44.450,75","46.446,53","47.674,81","19.088,84","19.977,90","19.527,49","16.302,91","17.516,42","873,34",0,"1.096.276,10","111.343,49","107.820,90","105.264,15","110.968,98","111.659,67","110.813,89","110.674,85","111.659,67","111.659,67","104.410,83",0,0,"33.763,00",
 PAULO EDUARDO LIMA MARTINS,M,91,1,0,25,0,0, 20/04/1981,"88.681,27","3.945,73","11.259,49","14.805,25","19.018,57","2.707,30","8.218,59","11.131,25","16.570,06","22,25","729,81","272,97",0,"977.162,47","102.152,26","98.860,68","99.214,26","106.521,83","98.007,37","89.495,08","89.495,08","93.465,44","98.709,04","101.241,43",0,0,"33.763,00",
 PAULO EDUARDO MAESTRI BENGTSON,M,74,0,18,36,32,13, 06/01/1974,"337.176,96","24.899,76","55.324,78","56.960,66","35.093,13","30.445,65","25.398,99","50.948,77","12.321,28","10.643,94","35.140,00","0,00",0,"1.114.366,52","111.659,64","111.659,64","111.225,25","111.659,64","111.659,64","109.864,15","111.659,64","111.659,64","111.659,64","111.659,64",0,0,"33.763,00",
 PAULO VELLOSO DANTAS AZI,M,84,4,4,40,22,3, 14/01/1963,"303.701,38","26.573,17","22.575,78","39.470,93","54.315,35","45.960,76","40.677,23","23.921,98","20.173,45","14.820,46","15.158,92","53,35",0,"1.048.327,58","111.653,56","111.653,56","111.653,56","111.653,56","111.653,56","105.448,85","111.501,94","84.752,91","94.178,04","94.178,04",0,0,"33.763,00",
 PAULO GUSTAVO GANIME ALVES TEIXEIRA,M,91,0,1,42,18,1, 19/04/1983,"38.387,05","4.333,73","6.334,72","7.106,41","11.947,54","5.938,04","1.814,90","903,97","4,58","3,16","0,00","0,00",0,"611.595,71","73.760,41","73.760,41","63.558,10","63.218,02","63.218,02","62.690,90","48.131,14","59.845,03","50.259,82","53.153,86",0,0,"33.763,00",
 Paulo Sérgio Ramos Barboza,M,75,4,13,51,17,23, 18/10/1944,"307.607,98","31.306,73","33.083,48","45.488,92","41.894,52","40.776,21","31.441,15","25.189,78","21.649,26","20.853,85","14.891,88","1.032,20",0,"1.116.170,88","111.560,91","111.623,33","111.623,33","111.623,33","111.623,33","111.623,33","111.623,33","111.623,33","111.623,33","111.623,33",0,0,"33.763,00",
 PAULO ROBERTO FREIRE DA COSTA,M,74,10,8,21,9,2, 14/02/1955,"183.703,67","28.123,72","36.815,55","34.070,90","19.783,12","41.182,90","7.628,08","363,70","7.406,48","4.265,11","4.064,11","0,00",0,"1.115.080,60","111.508,06","111.508,06","111.508,06","111.508,06","111.508,06","111.508,06","111.508,06","111.508,06","111.508,06","111.508,06",0,0,"33.763,00",
 PAULO JOSE CARLOS GUEDES,M,79,6,7,46,23,7, 01/10/1970,"325.411,60","50.413,88","36.385,16","43.402,14","47.827,78","41.593,85","21.450,49","21.887,90","27.132,68","21.181,05","14.036,67","100,00",0,"1.111.487,07","111.544,43","111.544,43","111.501,58","111.257,51","110.565,25","110.600,74","111.071,26","110.674,48","111.285,05","111.442,34",0,0,"33.763,00",
 PAULO ROBERTO SEVERO PIMENTA,M,84,0,8,2,18,3, 19/03/1965,"304.036,71","41.686,99","42.323,66","49.222,99","42.354,53","32.901,03","24.113,63","31.686,30","12.308,50","7.348,04","20.091,04","0,00",0,"1.114.688,10","111.354,73","111.252,94","111.313,04","111.544,32","111.544,32","111.544,32","111.544,32","111.501,47","111.544,32","111.544,32",0,0,"33.763,00",
 LUIZ PAULO TEIXEIRA FERREIRA,M,84,8,0,73,37,0, 06/05/1961,"312.052,29","40.466,04","38.234,76","37.583,20","39.346,86","42.509,71","25.284,11","20.834,46","19.352,10","7.832,41","40.239,64","369,00",0,"1.116.573,36","111.659,80","111.659,80","111.659,80","111.659,80","111.659,80","111.659,80","111.659,80","111.659,80","111.659,80","111.635,16",0,0,"33.763,00",1
 PEDRO AUGUSTO GEROMEL BEZERRA DE MENEZES,M,69,1,22,9,10,8, 11/10/1980,"328.673,66","19.734,06","28.439,45","40.556,30","67.828,90","47.398,69","35.714,39","30.671,96","28.461,24","16.759,00","10.109,67","3.000,00",0,"939.350,07","94.142,10","93.371,15","93.371,15","93.371,15","92.962,20","102.548,76","89.862,58","88.681,70","91.617,35","99.421,93",0,0,"33.763,00",
